year,Month,Make,Model,Units Sold
2013,1,Audi ,A7,698
2013,2,Audi ,A7,588
2013,3,Audi ,A7,797
2013,4,Audi ,A7,645
2013,5,Audi ,A7,701
2013,6,Audi ,A7,611
2013,7,Audi ,A7,645
2013,8,Audi ,A7,719
2013,9,Audi ,A7,623
2013,10,Audi ,A7,696
2013,11,Audi ,A7,816
2013,12,Audi ,A7,944
2013,1,Audi ,A8,504
2013,2,Audi ,A8,395
2013,3,Audi ,A8,563
2013,4,Audi ,A8,467
2013,5,Audi ,A8,593
2013,6,Audi ,A8,577
2013,7,Audi ,A8,452
2013,8,Audi ,A8,539
2013,9,Audi ,A8,544
2013,10,Audi ,A8,445
2013,11,Audi ,A8,503
2013,12,Audi ,A8,718
2013,1,Audi ,Q7,889
2013,2,Audi ,Q7,920
2013,3,Audi ,Q7,"1,092"
2013,4,Audi ,Q7,"1,183"
2013,5,Audi ,Q7,"1,269"
2013,6,Audi ,Q7,"1,227"
2013,7,Audi ,Q7,"1,328"
2013,8,Audi ,Q7,"1,478"
2013,9,Audi ,Q7,"1,386"
2013,10,Audi ,Q7,"1,403"
2013,11,Audi ,Q7,"1,524"
2013,12,Audi ,Q7,"2,279"
2013,1,Audi ,R8,49
2013,2,Audi ,R8,50
2013,3,Audi ,R8,68
2013,4,Audi ,R8,71
2013,5,Audi ,R8,84
2013,6,Audi ,R8,75
2013,7,Audi ,R8,74
2013,8,Audi ,R8,76
2013,9,Audi ,R8,53
2013,10,Audi ,R8,65
2013,11,Audi ,R8,78
2013,12,Audi ,R8,70
2014,1,Audi ,A7,624
2014,2,Audi ,A7,628
2014,3,Audi ,A7,854
2014,4,Audi ,A7,816
2014,5,Audi ,A7,861
2014,6,Audi ,A7,686
2014,7,Audi ,A7,647
2014,8,Audi ,A7,682
2014,9,Audi ,A7,588
2014,10,Audi ,A7,635
2014,11,Audi ,A7,588
2014,12,Audi ,A7,524
2014,1,Audi ,A8,337
2014,2,Audi ,A8,360
2014,3,Audi ,A8,477
2014,4,Audi ,A8,443
2014,5,Audi ,A8,432
2014,6,Audi ,A8,585
2014,7,Audi ,A8,503
2014,8,Audi ,A8,436
2014,9,Audi ,A8,487
2014,10,Audi ,A8,530
2014,11,Audi ,A8,582
2014,12,Audi ,A8,732
2014,1,Audi ,Q7,"1,268"
2014,2,Audi ,Q7,"1,229"
2014,3,Audi ,Q7,"1,592"
2014,4,Audi ,Q7,"1,462"
2014,5,Audi ,Q7,"1,455"
2014,6,Audi ,Q7,"1,429"
2014,7,Audi ,Q7,"1,446"
2014,8,Audi ,Q7,"1,859"
2014,9,Audi ,Q7,"1,365"
2014,10,Audi ,Q7,"1,738"
2014,11,Audi ,Q7,"1,746"
2014,12,Audi ,Q7,"1,928"
2014,1,Audi ,R8,81
2014,2,Audi ,R8,70
2014,3,Audi ,R8,74
2014,4,Audi ,R8,80
2014,5,Audi ,R8,52
2014,6,Audi ,R8,65
2014,7,Audi ,R8,53
2014,8,Audi ,R8,50
2014,9,Audi ,R8,55
2014,10,Audi ,R8,53
2014,11,Audi ,R8,51
2014,12,Audi ,R8,64
2015,1,Audi ,A7,285
2015,2,Audi ,A7,229
2015,3,Audi ,A7,601
2015,4,Audi ,A7,754
2015,5,Audi ,A7,838
2015,6,Audi ,A7,669
2015,7,Audi ,A7,749
2015,8,Audi ,A7,757
2015,9,Audi ,A7,626
2015,10,Audi ,A7,736
2015,11,Audi ,A7,636
2015,12,Audi ,A7,841
2015,1,Audi ,A8,306
2015,2,Audi ,A8,300
2015,3,Audi ,A8,461
2015,4,Audi ,A8,387
2015,5,Audi ,A8,416
2015,6,Audi ,A8,647
2015,7,Audi ,A8,418
2015,8,Audi ,A8,441
2015,9,Audi ,A8,441
2015,10,Audi ,A8,385
2015,11,Audi ,A8,364
2015,12,Audi ,A8,424
2015,1,Audi ,Q7,880
2015,2,Audi ,Q7,"1,012"
2015,3,Audi ,Q7,"1,560"
2015,4,Audi ,Q7,"1,620"
2015,5,Audi ,Q7,"1,823"
2015,6,Audi ,Q7,"1,630"
2015,7,Audi ,Q7,"1,939"
2015,8,Audi ,Q7,"2,016"
2015,9,Audi ,Q7,"1,941"
2015,10,Audi ,Q7,"2,106"
2015,11,Audi ,Q7,"1,279"
2015,12,Audi ,Q7,"1,189"
2015,1,Audi ,R8,49
2015,2,Audi ,R8,52
2015,3,Audi ,R8,69
2015,4,Audi ,R8,69
2015,5,Audi ,R8,73
2015,6,Audi ,R8,51
2015,7,Audi ,R8,41
2015,8,Audi ,R8,35
2015,9,Audi ,R8,14
2015,10,Audi ,R8,17
2015,11,Audi ,R8,10
2015,12,Audi ,R8,15
2016,1,Audi ,A7,432
2016,2,Audi ,A7,429
2016,3,Audi ,A7,605
2016,4,Audi ,A7,543
2016,5,Audi ,A7,560
2016,6,Audi ,A7,487
2016,7,Audi ,A7,417
2016,8,Audi ,A7,574
2016,9,Audi ,A7,541
2016,10,Audi ,A7,583
2016,11,Audi ,A7,576
2016,12,Audi ,A7,811
2016,1,Audi ,A8,345
2016,2,Audi ,A8,218
2016,3,Audi ,A8,422
2016,4,Audi ,A8,330
2016,5,Audi ,A8,323
2016,6,Audi ,A8,303
2016,7,Audi ,A8,327
2016,8,Audi ,A8,348
2016,9,Audi ,A8,335
2016,10,Audi ,A8,354
2016,11,Audi ,A8,343
2016,12,Audi ,A8,501
2016,1,Audi ,Q7,"2,336"
2016,2,Audi ,Q7,"1,653"
2016,3,Audi ,Q7,"3,004"
2016,4,Audi ,Q7,"2,472"
2016,5,Audi ,Q7,"2,663"
2016,6,Audi ,Q7,"2,613"
2016,7,Audi ,Q7,"2,322"
2016,8,Audi ,Q7,"2,347"
2016,9,Audi ,Q7,"2,475"
2016,10,Audi ,Q7,"2,798"
2016,11,Audi ,Q7,"2,605"
2016,12,Audi ,Q7,"3,275"
2016,1,Audi ,R8,11
2016,2,Audi ,R8,9
2016,3,Audi ,R8,7
2016,4,Audi ,R8,96
2016,5,Audi ,R8,67
2016,6,Audi ,R8,72
2016,7,Audi ,R8,88
2016,8,Audi ,R8,96
2016,9,Audi ,R8,84
2016,10,Audi ,R8,61
2016,11,Audi ,R8,63
2016,12,Audi ,R8,82
2017,1,Audi ,A7,414
2017,2,Audi ,A7,471
2017,3,Audi ,A7,541
2017,4,Audi ,A7,459
2017,5,Audi ,A7,181
2017,6,Audi ,A7,224
2017,7,Audi ,A7,266
2017,8,Audi ,A7,379
2017,9,Audi ,A7,504
2017,10,Audi ,A7,465
2017,11,Audi ,A7,453
2017,12,Audi ,A7,453
2017,1,Audi ,A8,254
2017,2,Audi ,A8,251
2017,3,Audi ,A8,288
2017,4,Audi ,A8,291
2017,5,Audi ,A8,216
2017,6,Audi ,A8,301
2017,7,Audi ,A8,270
2017,8,Audi ,A8,239
2017,9,Audi ,A8,276
2017,10,Audi ,A8,258
2017,11,Audi ,A8,217
2017,12,Audi ,A8,266
2017,1,Audi ,Q7,"2,411"
