year,Month,Make,Model,Units Sold
2013,1,Ford,Fiesta,"4,285"
2013,2,Ford,Fiesta,"5,015"
2013,3,Ford,Fiesta,"6,728"
2013,4,Ford,Fiesta,"6,080"
2013,5,Ford,Fiesta,"6,693"
2013,6,Ford,Fiesta,"9,363"
2013,7,Ford,Fiesta,"7,667"
2013,8,Ford,Fiesta,"6,744"
2013,9,Ford,Fiesta,"5,043"
2013,10,Ford,Fiesta,"4,337"
2013,11,Ford,Fiesta,"4,642"
2013,12,Ford,Fiesta,"4,476"
2013,1,Ford,Explorer,"15,207"
2013,2,Ford,Explorer,"17,391"
2013,3,Ford,Explorer,"18,599"
2013,4,Ford,Explorer,"15,440"
2013,5,Ford,Explorer,"18,009"
2013,6,Ford,Explorer,"16,597"
2013,7,Ford,Explorer,"14,089"
2013,8,Ford,Explorer,"15,637"
2013,9,Ford,Explorer,"14,965"
2013,10,Ford,Explorer,"15,288"
2013,11,Ford,Explorer,"14,268"
2013,12,Ford,Explorer,"16,907"
2013,1,Ford,Mustang,"3,608"
2013,2,Ford,Mustang,"6,024"
2013,3,Ford,Mustang,"7,688"
2013,4,Ford,Mustang,"7,751"
2013,5,Ford,Mustang,"8,797"
2013,6,Ford,Mustang,"9,243"
2013,7,Ford,Mustang,"5,768"
2013,8,Ford,Mustang,"5,866"
2013,9,Ford,Mustang,"4,420"
2013,10,Ford,Mustang,"6,918"
2013,11,Ford,Mustang,"5,376"
2013,12,Ford,Mustang,"5,727"
2013,1,Ford,E series,"6,901"
2013,2,Ford,E series,"6,488"
2013,3,Ford,E series,"9,082"
2013,4,Ford,E series,"9,376"
2013,5,Ford,E series,"9,412"
2013,6,Ford,E series,"10,801"
2013,7,Ford,E series,"8,856"
2013,8,Ford,E series,"7,801"
2013,9,Ford,E series,"7,649"
2013,10,Ford,E series,"7,795"
2013,11,Ford,E series,"8,082"
2013,12,Ford,E series,"10,462"
2013,1,Ford,Edge,"9,614"
2013,2,Ford,Edge,"9,683"
2013,3,Ford,Edge,"12,237"
2013,4,Ford,Edge,"10,357"
2013,5,Ford,Edge,"13,501"
2013,6,Ford,Edge,"13,579"
2013,7,Ford,Edge,"10,541"
2013,8,Ford,Edge,"11,529"
2013,9,Ford,Edge,"8,548"
2013,10,Ford,Edge,"8,681"
2013,11,Ford,Edge,"8,761"
2013,12,Ford,Edge,"12,078"
2013,1,Ford,Escape,"19,939"
2013,2,Ford,Escape,"24,110"
2013,3,Ford,Escape,"28,934"
2013,4,Ford,Escape,"25,826"
2013,5,Ford,Escape,"29,123"
2013,6,Ford,Escape,"28,694"
2013,7,Ford,Escape,"22,343"
2013,8,Ford,Escape,"26,714"
2013,9,Ford,Escape,"22,607"
2013,10,Ford,Escape,"22,253"
2013,11,Ford,Escape,"20,988"
