year,Month,Make,Model,Units Sold
2013,1,GMC,Canyon,302
2013,2,GMC,Canyon,180
2013,3,GMC,Canyon,154
2013,4,GMC,Canyon,88
2013,5,GMC,Canyon,88
2013,6,GMC,Canyon,64
2013,7,GMC,Canyon,22
2013,8,GMC,Canyon,12
2013,9,GMC,Canyon,8
2013,10,GMC,Canyon,5
2013,11,GMC,Canyon,4
2013,12,GMC,Canyon,2
2013,1,GMC,Sierra,"12,846"
2013,2,GMC,Sierra,"14,133"
2013,3,GMC,Sierra,"13,817"
2013,4,GMC,Sierra,"14,208"
2013,5,GMC,Sierra,"16,061"
2013,6,GMC,Sierra,"16,568"
2013,7,GMC,Sierra,"16,582"
2013,8,GMC,Sierra,"18,017"
2013,9,GMC,Sierra,"13,438"
2013,10,GMC,Sierra,"16,503"
2013,11,GMC,Sierra,"14,362"
2013,12,GMC,Sierra,"17,854"
2013,1,GMC,Yukon,"1,690"
2013,2,GMC,Yukon,"2,572"
2013,3,GMC,Yukon,"2,655"
2013,4,GMC,Yukon,"1,577"
2013,5,GMC,Yukon,"1,814"
2013,6,GMC,Yukon,"1,797"
2013,7,GMC,Yukon,"2,790"
2013,8,GMC,Yukon,"2,345"
2013,9,GMC,Yukon,"1,667"
2013,10,GMC,Yukon,"3,021"
2013,11,GMC,Yukon,"2,777"
2013,12,GMC,Yukon,"3,597"
2014,1,GMC,Canyon,1
2014,2,GMC,Canyon,0
2014,3,GMC,Canyon,1
2014,4,GMC,Canyon,0
2014,5,GMC,Canyon,0
2014,6,GMC,Canyon,3
2014,7,GMC,Canyon,0
2014,8,GMC,Canyon,0
2014,9,GMC,Canyon,11
2014,10,GMC,Canyon,667
2014,11,GMC,Canyon,854
2014,12,GMC,Canyon,"1,533"
2014,1,GMC,Sierra,"11,118"
2014,2,GMC,Sierra,"14,232"
2014,3,GMC,Sierra,"16,863"
2014,4,GMC,Sierra,"17,246"
2014,5,GMC,Sierra,"18,326"
2014,6,GMC,Sierra,"15,406"
2014,7,GMC,Sierra,"17,488"
2014,8,GMC,Sierra,"19,847"
2014,9,GMC,Sierra,"16,763"
2014,10,GMC,Sierra,"18,564"
2014,11,GMC,Sierra,"22,544"
2014,12,GMC,Sierra,"23,436"
2014,1,GMC,Yukon,"1,287"
2014,2,GMC,Yukon,"1,949"
2014,3,GMC,Yukon,"3,280"
2014,4,GMC,Yukon,"3,733"
2014,5,GMC,Yukon,"4,409"
2014,6,GMC,Yukon,"3,946"
2014,7,GMC,Yukon,"4,139"
2014,8,GMC,Yukon,"4,715"
2014,9,GMC,Yukon,"3,226"
2014,10,GMC,Yukon,"2,977"
2014,11,GMC,Yukon,"3,179"
2014,12,GMC,Yukon,"4,729"
2015,1,GMC,Canyon,"2,205"
2015,2,GMC,Canyon,"2,513"
2015,3,GMC,Canyon,"2,434"
2015,4,GMC,Canyon,"2,432"
2015,5,GMC,Canyon,"2,901"
2015,6,GMC,Canyon,"2,532"
2015,7,GMC,Canyon,"2,654"
2015,8,GMC,Canyon,"2,423"
2015,9,GMC,Canyon,"2,332"
2015,10,GMC,Canyon,"2,415"
2015,11,GMC,Canyon,"2,236"
2015,12,GMC,Canyon,"3,000"
2015,1,GMC,Sierra,"12,621"
2015,2,GMC,Sierra,"15,157"
2015,3,GMC,Sierra,"17,395"
2015,4,GMC,Sierra,"18,082"
2015,5,GMC,Sierra,"18,977"
2015,6,GMC,Sierra,"18,618"
2015,7,GMC,Sierra,"19,808"
