year,Month,Make,Model,Units Sold
2013,1,Honda,Accord,"23,924"
2013,2,Honda,Accord,"27,999"
2013,3,Honda,Accord,"36,504"
2013,4,Honda,Accord,"33,538"
2013,5,Honda,Accord,"33,218"
2013,6,Honda,Accord,"31,677"
2013,7,Honda,Accord,"31,507"
2013,8,Honda,Accord,"38,559"
2013,9,Honda,Accord,"25,176"
2013,10,Honda,Accord,"25,162"
2013,11,Honda,Accord,"27,093"
2013,12,Honda,Accord,"32,321"
2013,1,Honda,Civic,"21,881"
2013,2,Honda,Civic,"22,713"
2013,3,Honda,Civic,"27,665"
2013,4,Honda,Civic,"26,453"
2013,5,Honda,Civic,"30,268"
2013,6,Honda,Civic,"29,724"
2013,7,Honda,Civic,"32,416"
2013,8,Honda,Civic,"39,459"
2013,9,Honda,Civic,"22,983"
2013,10,Honda,Civic,"27,328"
2013,11,Honda,Civic,"26,291"
2013,12,Honda,Civic,"29,000"
2013,1,Honda,CR-V,"18,167"
2013,2,Honda,CR-V,"21,049"
2013,3,Honda,CR-V,"27,348"
2013,4,Honda,CR-V,"26,924"
2013,5,Honda,CR-V,"27,725"
2013,6,Honda,CR-V,"26,965"
2013,7,Honda,CR-V,"27,610"
2013,8,Honda,CR-V,"35,137"
2013,9,Honda,CR-V,"21,703"
2013,10,Honda,CR-V,"22,879"
2013,11,Honda,CR-V,"23,804"
2013,12,Honda,CR-V,"29,143"
2013,1,Honda,Pilot,"7,405"
2013,2,Honda,Pilot,"9,614"
2013,3,Honda,Pilot,"11,207"
2013,4,Honda,Pilot,"10,613"
2013,5,Honda,Pilot,"11,963"
2013,6,Honda,Pilot,"12,085"
2013,7,Honda,Pilot,"12,932"
2013,8,Honda,Pilot,"14,877"
2013,9,Honda,Pilot,"9,659"
2013,10,Honda,Pilot,"9,202"
2013,11,Honda,Pilot,"8,150"
2013,12,Honda,Pilot,"8,971"
2014,1,Honda,Accord,"20,604"
2014,2,Honda,Accord,"24,622"
2014,3,Honda,Accord,"33,962"
2014,4,Honda,Accord,"34,124"
2014,5,Honda,Accord,"39,637"
2014,6,Honda,Accord,"32,329"
2014,7,Honda,Accord,"35,073"
2014,8,Honda,Accord,"51,075"
2014,9,Honda,Accord,"32,956"
2014,10,Honda,Accord,"27,189"
2014,11,Honda,Accord,"25,275"
2014,12,Honda,Accord,"31,589"
2014,1,Honda,Civic,"21,824"
2014,2,Honda,Civic,"21,575"
2014,3,Honda,Civic,"27,697"
2014,4,Honda,Civic,"27,611"
2014,5,Honda,Civic,"36,089"
2014,6,Honda,Civic,"32,301"
2014,7,Honda,Civic,"30,038"
2014,8,Honda,Civic,"34,032"
2014,9,Honda,Civic,"22,263"
2014,10,Honda,Civic,"24,254"
2014,11,Honda,Civic,"23,060"
2014,12,Honda,Civic,"25,337"
2014,1,Honda,CR-V,"18,499"
2014,2,Honda,CR-V,"21,077"
2014,3,Honda,CR-V,"29,011"
2014,4,Honda,CR-V,"28,854"
2014,5,Honda,CR-V,"32,819"
2014,6,Honda,CR-V,"26,431"
2014,7,Honda,CR-V,"28,878"
2014,8,Honda,CR-V,"34,421"
2014,9,Honda,CR-V,"23,970"
2014,10,Honda,CR-V,"29,462"
2014,11,Honda,CR-V,"32,566"
2014,12,Honda,CR-V,"32,593"
2014,1,Honda,Pilot,"6,224"
2014,2,Honda,Pilot,"6,913"
2014,3,Honda,Pilot,"8,894"
2014,4,Honda,Pilot,"8,765"
2014,5,Honda,Pilot,"10,054"
2014,6,Honda,Pilot,"9,830"
2014,7,Honda,Pilot,"10,933"
2014,8,Honda,Pilot,"10,810"
2014,9,Honda,Pilot,"7,824"
2014,10,Honda,Pilot,"7,903"
2014,11,Honda,Pilot,"9,228"
2014,12,Honda,Pilot,"11,479"
2015,1,Honda,Accord,"21,011"
2015,2,Honda,Accord,"21,616"
2015,3,Honda,Accord,"26,018"
2015,4,Honda,Accord,"27,251"
2015,5,Honda,Accord,"32,373"
2015,6,Honda,Accord,"27,477"
2015,7,Honda,Accord,"34,496"
2015,8,Honda,Accord,"40,931"
2015,9,Honda,Accord,"33,641"
2015,10,Honda,Accord,"30,121"
2015,11,Honda,Accord,"25,566"
2015,12,Honda,Accord,"35,056"
2015,1,Honda,Civic,"18,699"
2015,2,Honda,Civic,"21,038"
2015,3,Honda,Civic,"26,985"
2015,4,Honda,Civic,"28,380"
2015,5,Honda,Civic,"34,472"
2015,6,Honda,Civic,"28,727"
2015,7,Honda,Civic,"31,139"
2015,8,Honda,Civic,"32,031"
2015,9,Honda,Civic,"28,278"
2015,10,Honda,Civic,"27,789"
2015,11,Honda,Civic,"25,050"
2015,12,Honda,Civic,"32,796"
2015,1,Honda,CR-V,"23,407"
2015,2,Honda,CR-V,"22,473"
2015,3,Honda,CR-V,"27,873"
2015,4,Honda,CR-V,"29,668"
2015,5,Honda,CR-V,"32,336"
2015,6,Honda,CR-V,"28,553"
2015,7,Honda,CR-V,"32,055"
2015,8,Honda,CR-V,"35,104"
2015,9,Honda,CR-V,"30,235"
2015,10,Honda,CR-V,"29,348"
2015,11,Honda,CR-V,"26,167"
2015,12,Honda,CR-V,"31,501"
2015,1,Honda,Pilot,"12,315"
2015,2,Honda,Pilot,"12,629"
2015,3,Honda,Pilot,"11,937"
2015,4,Honda,Pilot,"11,222"
2015,5,Honda,Pilot,"11,760"
2015,6,Honda,Pilot,"9,093"
2015,7,Honda,Pilot,"9,584"
2015,8,Honda,Pilot,"10,202"
2015,9,Honda,Pilot,"10,238"
2015,10,Honda,Pilot,"12,913"
2015,11,Honda,Pilot,"10,975"
2015,12,Honda,Pilot,"13,344"
2016,1,Honda,Accord,"20,765"
2016,2,Honda,Accord,"25,785"
2016,3,Honda,Accord,"30,523"
2016,4,Honda,Accord,"31,526"
2016,5,Honda,Accord,"31,949"
2016,6,Honda,Accord,"28,806"
2016,7,Honda,Accord,"31,946"
2016,8,Honda,Accord,"30,115"
2016,9,Honda,Accord,"27,204"
2016,10,Honda,Accord,"25,551"
2016,11,Honda,Accord,"27,182"
2016,12,Honda,Accord,"33,783"
2016,1,Honda,Civic,"26,741"
2016,2,Honda,Civic,"27,707"
2016,3,Honda,Civic,"32,855"
2016,4,Honda,Civic,"35,331"
2016,5,Honda,Civic,"35,396"
2016,6,Honda,Civic,"31,810"
2016,7,Honda,Civic,"32,952"
2016,8,Honda,Civic,"32,807"
2016,9,Honda,Civic,"28,184"
2016,10,Honda,Civic,"26,359"
2016,11,Honda,Civic,"25,303"
2016,12,Honda,Civic,"31,482"
2016,1,Honda,CR-V,"19,400"
2016,2,Honda,CR-V,"25,378"
2016,3,Honda,CR-V,"26,893"
2016,4,Honda,CR-V,"29,166"
2016,5,Honda,CR-V,"29,593"
2016,6,Honda,CR-V,"29,850"
2016,7,Honda,CR-V,"36,289"
2016,8,Honda,CR-V,"36,739"
2016,9,Honda,CR-V,"32,049"
2016,10,Honda,CR-V,"30,474"
2016,11,Honda,CR-V,"25,904"
2016,12,Honda,CR-V,"37,938"
2016,1,Honda,Pilot,"8,561"
2016,2,Honda,Pilot,"9,572"
2016,3,Honda,Pilot,"10,593"
2016,4,Honda,Pilot,"11,370"
2016,5,Honda,Pilot,"11,248"
2016,6,Honda,Pilot,"10,830"
2016,7,Honda,Pilot,"10,350"
2016,8,Honda,Pilot,"9,269"
2016,9,Honda,Pilot,"9,206"
2016,10,Honda,Pilot,"8,677"
2016,11,Honda,Pilot,"9,024"
2016,12,Honda,Pilot,"12,072"
2017,1,Honda,Accord,"19,536"
2017,2,Honda,Accord,"23,455"
2017,3,Honda,Accord,"26,824"
2017,4,Honda,Accord,"26,938"
2017,5,Honda,Accord,"33,547"
2017,6,Honda,Accord,"29,791"
2017,7,Honda,Accord,"30,903"
2017,8,Honda,Accord,"30,019"
2017,9,Honda,Accord,"29,789"
2017,10,Honda,Accord,"26,740"
2017,11,Honda,Accord,"22,998"
2017,12,Honda,Accord,"22,115"
2017,1,Honda,Civic,"23,095"
2017,2,Honda,Civic,"27,039"
2017,3,Honda,Civic,"31,520"
2017,4,Honda,Civic,"31,211"
2017,5,Honda,Civic,"31,989"
2017,6,Honda,Civic,"30,909"
2017,7,Honda,Civic,"36,683"
2017,8,Honda,Civic,"36,482"
2017,9,Honda,Civic,"35,452"
2017,10,Honda,Civic,"30,319"
2017,11,Honda,Civic,"31,181"
2017,12,Honda,Civic,"31,406"
2017,1,Honda,CR-V,"29,376"
2017,2,Honda,CR-V,"32,016"
2017,3,Honda,CR-V,"33,001"
2017,4,Honda,CR-V,"32,756"
2017,5,Honda,CR-V,"32,251"
2017,6,Honda,CR-V,"28,404"
2017,7,Honda,CR-V,"31,811"
2017,8,Honda,CR-V,"30,986"
2017,9,Honda,CR-V,"30,983"
2017,10,Honda,CR-V,"27,791"
2017,11,Honda,CR-V,"32,223"
2017,12,Honda,CR-V,"37,002"
2017,1,Honda,Pilot,"7,180"
2017,2,Honda,Pilot,"8,099"
2017,3,Honda,Pilot,"9,945"
2017,4,Honda,Pilot,"9,746"
2017,5,Honda,Pilot,"9,976"
2017,6,Honda,Pilot,"9,409"
2017,7,Honda,Pilot,"9,985"
2017,8,Honda,Pilot,"9,568"
2017,9,Honda,Pilot,"10,295"
2017,10,Honda,Pilot,"10,285"
2017,11,Honda,Pilot,"14,189"
2017,12,Honda,Pilot,"18,602"
2018,1,Honda,Accord,"17,677"
2018,2,Honda,Accord,"19,753"
2018,3,Honda,Accord,"24,171"
2018,4,Honda,Accord,"21,751"
2018,5,Honda,Accord,"28,212"
2018,6,Honda,Accord,"26,726"
2018,7,Honda,Accord,"24,927"
2018,8,Honda,Accord,"26,725"
2018,9,Honda,Accord,"25,357"
2018,10,Honda,Accord,"23,778"
2018,11,Honda,Accord,"23,367"
2018,12,Honda,Accord,"28,627"
2018,1,Honda,Civic,"23,749"
2018,2,Honda,Civic,"25,816"
2018,3,Honda,Civic,"32,584"
2018,4,Honda,Civic,"28,399"
2018,5,Honda,Civic,"34,349"
2018,6,Honda,Civic,"31,345"
2018,7,Honda,Civic,"26,311"
2018,8,Honda,Civic,"27,677"
2018,9,Honda,Civic,"24,806"
2018,10,Honda,Civic,"22,450"
2018,11,Honda,Civic,"21,890"
2018,12,Honda,Civic,"26,384"
2018,1,Honda,CR-V,"24,334"
2018,2,Honda,CR-V,"25,852"
2018,3,Honda,CR-V,"31,868"
2018,4,Honda,CR-V,"28,323"
2018,5,Honda,CR-V,"35,905"
2018,6,Honda,CR-V,"33,306"
2018,7,Honda,CR-V,"32,844"
2018,8,Honda,CR-V,"34,610"
2018,9,Honda,CR-V,"30,587"
2018,10,Honda,CR-V,"27,825"
2018,11,Honda,CR-V,"31,488"
2018,12,Honda,CR-V,"42,079"
2018,1,Honda,Pilot,"11,619"
2018,2,Honda,Pilot,"12,056"
2018,3,Honda,Pilot,"14,158"
2018,4,Honda,Pilot,"11,891"
2018,5,Honda,Pilot,"13,573"
2018,6,Honda,Pilot,"12,782"
2018,7,Honda,Pilot,"13,026"
2018,8,Honda,Pilot,"15,332"
2018,9,Honda,Pilot,"15,464"
2018,10,Honda,Pilot,"13,479"
2018,11,Honda,Pilot,"10,537"
2018,12,Honda,Pilot,"15,698"
2019,1,Honda,Accord,"18,786"
2019,2,Honda,Accord,"20,254"
2019,3,Honda,Accord,"25,371"
2019,4,Honda,Accord,"19,239"
2019,5,Honda,Accord,"23,892"
2019,6,Honda,Accord,"21,893"
2019,7,Honda,Accord,"24,144"
2019,8,Honda,Accord,"30,558"
2019,9,Honda,Accord,"20,326"
2019,10,Honda,Accord,"21,689"
2019,11,Honda,Accord,"21,733"
2019,12,Honda,Accord,"19,682"
2019,1,Honda,Civic,"21,553"
2019,2,Honda,Civic,"22,979"
2019,3,Honda,Civic,"33,653"
2019,4,Honda,Civic,"28,436"
2019,5,Honda,Civic,"32,800"
2019,6,Honda,Civic,"29,751"
2019,7,Honda,Civic,"29,167"
