year,Month,Make,Model,Units Sold
2013,1,Hyundai,Accent,"3,495"
2013,2,Hyundai,Accent,"4,750"
2013,3,Hyundai,Accent,"5,669"
2013,4,Hyundai,Accent,"4,730"
2013,5,Hyundai,Accent,"5,578"
2013,6,Hyundai,Accent,"5,237"
2013,7,Hyundai,Accent,"5,537"
2013,8,Hyundai,Accent,"5,117"
2013,9,Hyundai,Accent,"4,999"
2013,10,Hyundai,Accent,"3,605"
2013,11,Hyundai,Accent,"4,641"
2013,12,Hyundai,Accent,"7,100"
2013,1,Hyundai,Elantra,"12,174"
2013,2,Hyundai,Elantra,"16,219"
2013,3,Hyundai,Elantra,"26,153"
2013,4,Hyundai,Elantra,"24,445"
2013,5,Hyundai,Elantra,"25,090"
2013,6,Hyundai,Elantra,"22,163"
2013,7,Hyundai,Elantra,"23,958"
2013,8,Hyundai,Elantra,"24,700"
2013,9,Hyundai,Elantra,"19,691"
2013,10,Hyundai,Elantra,"14,876"
2013,11,Hyundai,Elantra,"16,751"
2013,12,Hyundai,Elantra,"21,692"
2013,1,Hyundai,Santa fe,"5,991"
2013,2,Hyundai,Santa fe,"6,339"
2013,3,Hyundai,Santa fe,"7,116"
2013,4,Hyundai,Santa fe,"6,940"
2013,5,Hyundai,Santa fe,"7,116"
2013,6,Hyundai,Santa fe,"7,656"
2013,7,Hyundai,Santa fe,"6,845"
2013,8,Hyundai,Santa fe,"8,102"
2013,9,Hyundai,Santa fe,"6,639"
2013,10,Hyundai,Santa fe,"8,194"
2013,11,Hyundai,Santa fe,"9,657"
2013,12,Hyundai,Santa fe,"8,249"
2014,1,Hyundai,Accent,"4,240"
2014,2,Hyundai,Accent,"5,925"
2014,3,Hyundai,Accent,"5,843"
2014,4,Hyundai,Accent,"6,419"
2014,5,Hyundai,Accent,"6,117"
2014,6,Hyundai,Accent,"5,720"
2014,7,Hyundai,Accent,"3,755"
2014,8,Hyundai,Accent,"4,724"
2014,9,Hyundai,Accent,"3,662"
2014,10,Hyundai,Accent,"4,839"
2014,11,Hyundai,Accent,"3,499"
2014,12,Hyundai,Accent,"8,566"
2014,1,Hyundai,Elantra,"15,326"
