"year","Month","Make","Model","Units Sold"
"2013","1","Kia","Forte","4,408"
"2013","2","Kia","Forte","5,003"
"2013","3","Kia","Forte","5,931"
"2013","4","Kia","Forte","5,212"
"2013","5","Kia","Forte","7,177"
"2013","6","Kia","Forte","6,620"
"2013","7","Kia","Forte","7,277"
"2013","8","Kia","Forte","6,459"
"2013","9","Kia","Forte","4,618"
"2013","10","Kia","Forte","4,706"
"2013","11","Kia","Forte","4,423"
"2013","12","Kia","Forte","4,302"
"2013","1","Kia","Rio","2,470"
"2013","2","Kia","Rio","3,339"
"2013","3","Kia","Rio","4,009"
"2013","4","Kia","Rio","4,531"
"2013","5","Kia","Rio","5,142"
"2013","6","Kia","Rio","4,169"
"2013","7","Kia","Rio","3,021"
"2013","8","Kia","Rio","3,862"
"2013","9","Kia","Rio","2,695"
"2013","10","Kia","Rio","2,874"
"2013","11","Kia","Rio","2,474"
"2013","12","Kia","Rio","2,156"
"2013","1","Kia","Soul","7,382"
"2013","2","Kia","Soul","9,551"
"2013","3","Kia","Soul","12,080"
"2013","4","Kia","Soul","11,311"
"2013","5","Kia","Soul","11,420"
"2013","6","Kia","Soul","11,287"
"2013","7","Kia","Soul","10,160"
"2013","8","Kia","Soul","10,017"
"2013","9","Kia","Soul","7,416"
"2013","10","Kia","Soul","8,240"
"2013","11","Kia","Soul","12,870"
"2013","12","Kia","Soul","6,345"
"2013","1","Kia","Sorento","8,005"
"2013","2","Kia","Sorento","7,945"
"2013","3","Kia","Sorento","10,005"
"2013","4","Kia","Sorento","8,909"
"2013","5","Kia","Sorento","9,182"
"2013","6","Kia","Sorento","9,341"
"2013","7","Kia","Sorento","9,576"
"2013","8","Kia","Sorento","10,568"
"2013","9","Kia","Sorento","7,849"
"2013","10","Kia","Sorento","8,142"
"2013","11","Kia","Sorento","8,645"
"2013","12","Kia","Sorento","7,482"
"2014","1","Kia","Forte","4,724"
"2014","2","Kia","Forte","5,513"
"2014","3","Kia","Forte","7,048"
"2014","4","Kia","Forte","7,624"
"2014","5","Kia","Forte","7,196"
"2014","6","Kia","Forte","5,846"
"2014","7","Kia","Forte","5,566"
"2014","8","Kia","Forte","5,759"
"2014","9","Kia","Forte","4,517"
"2014","10","Kia","Forte","5,190"
"2014","11","Kia","Forte","5,047"
"2014","12","Kia","Forte","5,306"
"2014","1","Kia","Rio","3,162"
"2014","2","Kia","Rio","2,833"
"2014","3","Kia","Rio","3,571"
"2014","4","Kia","Rio","3,214"
"2014","5","Kia","Rio","3,929"
"2014","6","Kia","Rio","3,257"
"2014","7","Kia","Rio","3,791"
"2014","8","Kia","Rio","3,390"
"2014","9","Kia","Rio","2,240"
"2014","10","Kia","Rio","2,534"
"2014","11","Kia","Rio","2,088"
"2014","12","Kia","Rio","1,924"
"2014","1","Kia","Soul","8,092"
"2014","2","Kia","Soul","10,584"
"2014","3","Kia","Soul","13,992"
"2014","4","Kia","Soul","14,403"
"2014","5","Kia","Soul","15,606"
"2014","6","Kia","Soul","12,322"
"2014","7","Kia","Soul","14,709"
"2014","8","Kia","Soul","15,069"
"2014","9","Kia","Soul","10,802"
"2014","10","Kia","Soul","10,685"
"2014","11","Kia","Soul","9,146"
"2014","12","Kia","Soul","9,906"
"2014","1","Kia","Sorento","7,098"
"2014","2","Kia","Sorento","7,237"
"2014","3","Kia","Sorento","8,671"
"2014","4","Kia","Sorento","8,536"
"2014","5","Kia","Sorento","10,548"
"2014","6","Kia","Sorento","9,831"
"2014","7","Kia","Sorento","8,749"
"2014","8","Kia","Sorento","9,302"
"2014","9","Kia","Sorento","6,606"
"2014","10","Kia","Sorento","7,656"
"2014","11","Kia","Sorento","5,898"
"2014","12","Kia","Sorento","9,688"
"2015","1","Kia","Forte","6,422"
"2015","2","Kia","Forte","5,549"
"2015","3","Kia","Forte","7,537"
"2015","4","Kia","Forte","7,183"
"2015","5","Kia","Forte","8,584"
"2015","6","Kia","Forte","7,907"
"2015","7","Kia","Forte","7,868"
"2015","8","Kia","Forte","6,862"
"2015","9","Kia","Forte","5,388"
"2015","10","Kia","Forte","5,198"
"2015","11","Kia","Forte","5,010"
"2015","12","Kia","Forte","5,411"
"2015","1","Kia","Rio","1,572"
"2015","2","Kia","Rio","1,943"
"2015","3","Kia","Rio","2,483"
"2015","4","Kia","Rio","2,802"
"2015","5","Kia","Rio","3,615"
"2015","6","Kia","Rio","2,420"
"2015","7","Kia","Rio","2,227"
"2015","8","Kia","Rio","1,734"
"2015","9","Kia","Rio","1,480"
"2015","10","Kia","Rio","1,571"
"2015","11","Kia","Rio","898"
"2015","12","Kia","Rio","997"
"2015","1","Kia","Soul","8,142"
"2015","2","Kia","Soul","9,965"
"2015","3","Kia","Soul","12,731"
"2015","4","Kia","Soul","11,418"
"2015","5","Kia","Soul","13,886"
"2015","6","Kia","Soul","11,844"
"2015","7","Kia","Soul","13,975"
"2015","8","Kia","Soul","17,108"
"2015","9","Kia","Soul","13,614"
"2015","10","Kia","Soul","12,246"
"2015","11","Kia","Soul","10,045"
"2015","12","Kia","Soul","12,159"
"2015","1","Kia","Sorento","7,543"
"2015","2","Kia","Sorento","8,518"
"2015","3","Kia","Sorento","10,842"
"2015","4","Kia","Sorento","9,808"
"2015","5","Kia","Sorento","10,743"
"2015","6","Kia","Sorento","8,967"
"2015","7","Kia","Sorento","9,749"
"2015","8","Kia","Sorento","10,211"
"2015","9","Kia","Sorento","9,380"
"2015","10","Kia","Sorento","8,593"
"2015","11","Kia","Sorento","9,023"
"2015","12","Kia","Sorento","12,872"
"2016","1","Kia","Forte","5,329"
"2016","2","Kia","Forte","8,187"
"2016","3","Kia","Forte","10,406"
"2016","4","Kia","Forte","9,740"
"2016","5","Kia","Forte","9,910"
"2016","6","Kia","Forte","9,170"
"2016","7","Kia","Forte","10,303"
"2016","8","Kia","Forte","8,307"
"2016","9","Kia","Forte","8,256"
"2016","10","Kia","Forte","8,013"
"2016","11","Kia","Forte","8,111"
"2016","12","Kia","Forte","7,560"
"2016","1","Kia","Rio","1,430"
"2016","2","Kia","Rio","1,461"
"2016","3","Kia","Rio","2,475"
"2016","4","Kia","Rio","2,523"
"2016","5","Kia","Rio","2,241"
"2016","6","Kia","Rio","5,238"
"2016","7","Kia","Rio","3,331"
"2016","8","Kia","Rio","3,325"
"2016","9","Kia","Rio","2,141"
"2016","10","Kia","Rio","1,826"
"2016","11","Kia","Rio","1,440"
"2016","12","Kia","Rio","1,269"
"2016","1","Kia","Soul","9,191"
"2016","2","Kia","Soul","11,842"
"2016","3","Kia","Soul","12,043"
"2016","4","Kia","Soul","11,517"
"2016","5","Kia","Soul","13,706"
"2016","6","Kia","Soul","12,229"
"2016","7","Kia","Soul","13,157"
"2016","8","Kia","Soul","12,253"
"2016","9","Kia","Soul","11,885"
"2016","10","Kia","Soul","13,036"
"2016","11","Kia","Soul","12,482"
"2016","12","Kia","Soul","21,427"
"2016","1","Kia","Sorento","6,695"
"2016","2","Kia","Sorento","8,101"
"2016","3","Kia","Sorento","9,897"
"2016","4","Kia","Sorento","10,353"
"2016","5","Kia","Sorento","11,914"
"2016","6","Kia","Sorento","12,118"
"2016","7","Kia","Sorento","9,854"
"2016","8","Kia","Sorento","8,533"
"2016","9","Kia","Sorento","8,137"
"2016","10","Kia","Sorento","7,651"
"2016","11","Kia","Sorento","9,698"
"2016","12","Kia","Sorento","11,782"
"2017","1","Kia","Forte","6,267"
"2017","2","Kia","Forte","8,506"
"2017","3","Kia","Forte","10,289"
"2017","4","Kia","Forte","10,496"
"2017","5","Kia","Forte","11,801"
"2017","6","Kia","Forte","11,387"
"2017","7","Kia","Forte","12,022"
"2017","8","Kia","Forte","10,693"
"2017","9","Kia","Forte","10,631"
"2017","10","Kia","Forte","9,219"
"2017","11","Kia","Forte","8,363"
"2017","12","Kia","Forte","7,922"
"2017","1","Kia","Rio","986"
"2017","2","Kia","Rio","840"
"2017","3","Kia","Rio","1,246"
"2017","4","Kia","Rio","1,463"
"2017","5","Kia","Rio","1,187"
"2017","6","Kia","Rio","963"
"2017","7","Kia","Rio","1,587"
"2017","8","Kia","Rio","1,643"
"2017","9","Kia","Rio","2,037"
"2017","10","Kia","Rio","1,657"
"2017","11","Kia","Rio","1,533"
"2017","12","Kia","Rio","1,618"
"2017","1","Kia","Soul","7,792"
"2017","2","Kia","Soul","7,702"
"2017","3","Kia","Soul","8,426"
"2017","4","Kia","Soul","9,182"
"2017","5","Kia","Soul","10,521"
"2017","6","Kia","Soul","9,493"
"2017","7","Kia","Soul","12,961"
"2017","8","Kia","Soul","14,151"
"2017","9","Kia","Soul","10,499"
"2017","10","Kia","Soul","9,254"
"2017","11","Kia","Soul","8,121"
"2017","12","Kia","Soul","7,610"
"2017","1","Kia","Sorento","6,179"
"2017","2","Kia","Sorento","6,845"
"2017","3","Kia","Sorento","7,751"
"2017","4","Kia","Sorento","9,317"
"2017","5","Kia","Sorento","10,413"
"2017","6","Kia","Sorento","9,751"
