"year","Month","Make","Model","Units Sold"
"2013","1","Mercedes-Benz","C-class","7,214"
"2013","2","Mercedes-Benz","C-class","7,302"
"2013","3","Mercedes-Benz","C-class","8,396"
"2013","4","Mercedes-Benz","C-class","7,338"
"2013","5","Mercedes-Benz","C-class","8,013"
"2013","6","Mercedes-Benz","C-class","7,639"
"2013","7","Mercedes-Benz","C-class","7,604"
"2013","8","Mercedes-Benz","C-class","6,701"
"2013","9","Mercedes-Benz","C-class","6,389"
"2013","10","Mercedes-Benz","C-class","6,548"
"2013","11","Mercedes-Benz","C-class","7,878"
"2013","12","Mercedes-Benz","C-class","7,229"
"2013","1","Mercedes-Benz","CLA","0"
"2013","2","Mercedes-Benz","CLA","0"
"2013","3","Mercedes-Benz","CLA","0"
"2013","4","Mercedes-Benz","CLA","0"
"2013","5","Mercedes-Benz","CLA","0"
"2013","6","Mercedes-Benz","CLA","0"
"2013","7","Mercedes-Benz","CLA","0"
"2013","8","Mercedes-Benz","CLA","0"
"2013","9","Mercedes-Benz","CLA","2,310"
"2013","10","Mercedes-Benz","CLA","4,895"
"2013","11","Mercedes-Benz","CLA","3,623"
"2013","12","Mercedes-Benz","CLA","3,285"
"2013","1","Mercedes-Benz","GLS","2,015"
"2013","2","Mercedes-Benz","GLS","2,800"
"2013","3","Mercedes-Benz","GLS","2,803"
"2013","4","Mercedes-Benz","GLS","2,481"
"2013","5","Mercedes-Benz","GLS","2,428"
"2013","6","Mercedes-Benz","GLS","2,419"
"2013","7","Mercedes-Benz","GLS","2,165"
"2013","8","Mercedes-Benz","GLS","2,722"
"2013","9","Mercedes-Benz","GLS","2,349"
"2013","10","Mercedes-Benz","GLS","2,565"
"2013","11","Mercedes-Benz","GLS","2,926"
"2013","12","Mercedes-Benz","GLS","2,239"
"2013","1","Mercedes-Benz","S-Class","938"
"2013","2","Mercedes-Benz","S-Class","923"
"2013","3","Mercedes-Benz","S-Class","1,216"
"2013","4","Mercedes-Benz","S-Class","1,103"
"2013","5","Mercedes-Benz","S-Class","1,190"
"2013","6","Mercedes-Benz","S-Class","841"
"2013","7","Mercedes-Benz","S-Class","577"
"2013","8","Mercedes-Benz","S-Class","450"
"2013","9","Mercedes-Benz","S-Class","387"
