"year","Month","Make","Model","Units Sold"
"2013","1","Nissan","Altima","21,464"
"2013","2","Nissan","Altima","27,725"
"2013","3","Nissan","Altima","37,763"
"2013","4","Nissan","Altima","21,991"
"2013","5","Nissan","Altima","31,940"
"2013","6","Nissan","Altima","26,904"
"2013","7","Nissan","Altima","29,534"
"2013","8","Nissan","Altima","30,976"
"2013","9","Nissan","Altima","21,221"
"2013","10","Nissan","Altima","21,785"
"2013","11","Nissan","Altima","24,604"
"2013","12","Nissan","Altima","24,816"
"2013","1","Nissan","Armada","1,198"
"2013","2","Nissan","Armada","1,401"
"2013","3","Nissan","Armada","1,335"
"2013","4","Nissan","Armada","773"
"2013","5","Nissan","Armada","1,537"
"2013","6","Nissan","Armada","1,137"
"2013","7","Nissan","Armada","1,106"
"2013","8","Nissan","Armada","1,114"
"2013","9","Nissan","Armada","872"
"2013","10","Nissan","Armada","1,187"
"2013","11","Nissan","Armada","1,260"
"2013","12","Nissan","Armada","1,463"
"2013","1","Nissan","Frontier","2,624"
"2013","2","Nissan","Frontier","2,736"
"2013","3","Nissan","Frontier","6,818"
"2013","4","Nissan","Frontier","5,155"
"2013","5","Nissan","Frontier","6,570"
"2013","6","Nissan","Frontier","5,413"
"2013","7","Nissan","Frontier","5,615"
"2013","8","Nissan","Frontier","6,588"
"2013","9","Nissan","Frontier","4,662"
"2013","10","Nissan","Frontier","5,242"
"2013","11","Nissan","Frontier","6,003"
"2013","12","Nissan","Frontier","5,411"
"2013","1","Nissan","Leaf","650"
"2013","2","Nissan","Leaf","653"
"2013","3","Nissan","Leaf","2,236"
"2013","4","Nissan","Leaf","1,937"
"2013","5","Nissan","Leaf","2,138"
"2013","6","Nissan","Leaf","2,225"
"2013","7","Nissan","Leaf","1,864"
"2013","8","Nissan","Leaf","2,420"
"2013","9","Nissan","Leaf","1,953"
"2013","10","Nissan","Leaf","2,002"
"2013","11","Nissan","Leaf","2,003"
"2013","12","Nissan","Leaf","2,529"
"2014","1","Nissan","Altima","22,515"
"2014","2","Nissan","Altima","30,849"
"2014","3","Nissan","Altima","35,921"
"2014","4","Nissan","Altima","25,004"
"2014","5","Nissan","Altima","36,053"
"2014","6","Nissan","Altima","26,111"
"2014","7","Nissan","Altima","26,654"
"2014","8","Nissan","Altima","32,153"
"2014","9","Nissan","Altima","21,675"
"2014","10","Nissan","Altima","23,544"
"2014","11","Nissan","Altima","22,834"
"2014","12","Nissan","Altima","32,331"
"2014","1","Nissan","Armada","1,029"
"2014","2","Nissan","Armada","1,099"
"2014","3","Nissan","Armada","1,321"
"2014","4","Nissan","Armada","908"
"2014","5","Nissan","Armada","1,104"
"2014","6","Nissan","Armada","996"
"2014","7","Nissan","Armada","948"
"2014","8","Nissan","Armada","1,006"
"2014","9","Nissan","Armada","675"
"2014","10","Nissan","Armada","922"
"2014","11","Nissan","Armada","1,224"
"2014","12","Nissan","Armada","1,631"
"2014","1","Nissan","Frontier","4,931"
"2014","2","Nissan","Frontier","5,791"
"2014","3","Nissan","Frontier","7,140"
"2014","4","Nissan","Frontier","5,697"
"2014","5","Nissan","Frontier","6,662"
"2014","6","Nissan","Frontier","5,722"
"2014","7","Nissan","Frontier","5,797"
"2014","8","Nissan","Frontier","6,770"
"2014","9","Nissan","Frontier","6,853"
"2014","10","Nissan","Frontier","6,568"
"2014","11","Nissan","Frontier","6,332"
"2014","12","Nissan","Frontier","6,060"
"2014","1","Nissan","Leaf","1,252"
"2014","2","Nissan","Leaf","1,425"
"2014","3","Nissan","Leaf","2,507"
"2014","4","Nissan","Leaf","2,088"
"2014","5","Nissan","Leaf","3,117"
"2014","6","Nissan","Leaf","2,347"
"2014","7","Nissan","Leaf","3,019"
"2014","8","Nissan","Leaf","3,186"
"2014","9","Nissan","Leaf","2,881"
"2014","10","Nissan","Leaf","2,589"
"2014","11","Nissan","Leaf","2,687"
"2014","12","Nissan","Leaf","3,102"
"2015","1","Nissan","Altima","26,408"
"2015","2","Nissan","Altima","28,474"
"2015","3","Nissan","Altima","31,993"
"2015","4","Nissan","Altima","22,108"
"2015","5","Nissan","Altima","33,630"
"2015","6","Nissan","Altima","29,418"
"2015","7","Nissan","Altima","33,842"
"2015","8","Nissan","Altima","32,327"
"2015","9","Nissan","Altima","24,224"
"2015","10","Nissan","Altima","20,948"
"2015","11","Nissan","Altima","20,564"
"2015","12","Nissan","Altima","29,462"
"2015","1","Nissan","Armada","1,029"
"2015","2","Nissan","Armada","990"
"2015","3","Nissan","Armada","1,266"
"2015","4","Nissan","Armada","1,198"
"2015","5","Nissan","Armada","1,488"
"2015","6","Nissan","Armada","1,218"
"2015","7","Nissan","Armada","878"
"2015","8","Nissan","Armada","891"
"2015","9","Nissan","Armada","841"
"2015","10","Nissan","Armada","970"
"2015","11","Nissan","Armada","812"
"2015","12","Nissan","Armada","1,156"
"2015","1","Nissan","Frontier","5,868"
"2015","2","Nissan","Frontier","6,106"
"2015","3","Nissan","Frontier","7,128"
"2015","4","Nissan","Frontier","5,827"
"2015","5","Nissan","Frontier","5,439"
"2015","6","Nissan","Frontier","4,437"
"2015","7","Nissan","Frontier","4,194"
"2015","8","Nissan","Frontier","3,645"
"2015","9","Nissan","Frontier","4,617"
"2015","10","Nissan","Frontier","4,764"
"2015","11","Nissan","Frontier","5,099"
"2015","12","Nissan","Frontier","5,693"
"2015","1","Nissan","Leaf","1,070"
"2015","2","Nissan","Leaf","1,198"
"2015","3","Nissan","Leaf","1,817"
"2015","4","Nissan","Leaf","1,553"
"2015","5","Nissan","Leaf","2,104"
"2015","6","Nissan","Leaf","2,074"
"2015","7","Nissan","Leaf","2,347"
"2015","8","Nissan","Leaf","1,393"
"2015","9","Nissan","Leaf","1,247"
"2015","10","Nissan","Leaf","1,238"
"2015","11","Nissan","Leaf","1,054"
"2015","12","Nissan","Leaf","1,347"
"2016","1","Nissan","Altima","22,156"
"2016","2","Nissan","Altima","28,320"
"2016","3","Nissan","Altima","34,856"
"2016","4","Nissan","Altima","28,484"
"2016","5","Nissan","Altima","28,404"
"2016","6","Nissan","Altima","30,475"
"2016","7","Nissan","Altima","24,949"
"2016","8","Nissan","Altima","19,646"
"2016","9","Nissan","Altima","25,031"
"2016","10","Nissan","Altima","20,257"
"2016","11","Nissan","Altima","20,039"
"2016","12","Nissan","Altima","24,763"
"2016","1","Nissan","Armada","774"
"2016","2","Nissan","Armada","1,093"
"2016","3","Nissan","Armada","981"
"2016","4","Nissan","Armada","855"
"2016","5","Nissan","Armada","794"
"2016","6","Nissan","Armada","754"
"2016","7","Nissan","Armada","606"
"2016","8","Nissan","Armada","514"
"2016","9","Nissan","Armada","1,712"
"2016","10","Nissan","Armada","1,740"
"2016","11","Nissan","Armada","1,738"
"2016","12","Nissan","Armada","2,474"
"2016","1","Nissan","Frontier","6,363"
"2016","2","Nissan","Frontier","6,834"
"2016","3","Nissan","Frontier","8,198"
"2016","4","Nissan","Frontier","7,509"
"2016","5","Nissan","Frontier","7,941"
"2016","6","Nissan","Frontier","8,166"
"2016","7","Nissan","Frontier","7,244"
"2016","8","Nissan","Frontier","9,537"
"2016","9","Nissan","Frontier","7,596"
"2016","10","Nissan","Frontier","6,364"
"2016","11","Nissan","Frontier","5,105"
"2016","12","Nissan","Frontier","6,069"
