"year","Month","Make","Model","Units Sold"
"2013","1","Toyota","4Runner","4,485"
"2013","2","Toyota","4Runner","3,979"
"2013","3","Toyota","4Runner","4,609"
"2013","4","Toyota","4Runner","3,846"
"2013","5","Toyota","4Runner","4,443"
"2013","6","Toyota","4Runner","4,065"
"2013","7","Toyota","4Runner","4,049"
"2013","8","Toyota","4Runner","4,579"
"2013","9","Toyota","4Runner","328"
"2013","10","Toyota","4Runner","4,571"
"2013","11","Toyota","4Runner","4,681"
"2013","12","Toyota","4Runner","5,100"
"2013","1","Toyota","Corolla","23,822"
"2013","2","Toyota","Corolla","24,999"
"2013","3","Toyota","Corolla","31,423"
"2013","4","Toyota","Corolla","24,273"
"2013","5","Toyota","Corolla","27,997"
"2013","6","Toyota","Corolla","26,458"
"2013","7","Toyota","Corolla","24,463"
"2013","8","Toyota","Corolla","26,861"
"2013","9","Toyota","Corolla","23,251"
"2013","10","Toyota","Corolla","23,637"
"2013","11","Toyota","Corolla","22,434"
"2013","12","Toyota","Corolla","22,562"
"2013","1","Toyota","Highlander","8,831"
"2013","2","Toyota","Highlander","9,310"
"2013","3","Toyota","Highlander","11,387"
"2013","4","Toyota","Highlander","9,793"
"2013","5","Toyota","Highlander","11,360"
"2013","6","Toyota","Highlander","11,090"
"2013","7","Toyota","Highlander","10,908"
"2013","8","Toyota","Highlander","13,021"
"2013","9","Toyota","Highlander","8,661"
"2013","10","Toyota","Highlander","9,323"
"2013","11","Toyota","Highlander","11,544"
"2013","12","Toyota","Highlander","12,344"
"2013","1","Toyota","Land Cruiser","277"
"2013","2","Toyota","Land Cruiser","216"
"2013","3","Toyota","Land Cruiser","247"
"2013","4","Toyota","Land Cruiser","217"
"2013","5","Toyota","Land Cruiser","268"
"2013","6","Toyota","Land Cruiser","259"
"2013","7","Toyota","Land Cruiser","214"
"2013","8","Toyota","Land Cruiser","269"
"2013","9","Toyota","Land Cruiser","224"
"2013","10","Toyota","Land Cruiser","289"
"2013","11","Toyota","Land Cruiser","276"
"2013","12","Toyota","Land Cruiser","326"
"2014","1","Toyota","4Runner","3,958"
"2014","2","Toyota","4Runner","4,662"
"2014","3","Toyota","4Runner","7,062"
"2014","4","Toyota","4Runner","6,300"
"2014","5","Toyota","4Runner","7,550"
"2014","6","Toyota","4Runner","5,761"
"2014","7","Toyota","4Runner","6,662"
"2014","8","Toyota","4Runner","7,657"
"2014","9","Toyota","4Runner","5,659"
"2014","10","Toyota","4Runner","6,311"
"2014","11","Toyota","4Runner","7,180"
"2014","12","Toyota","4Runner","8,244"
"2014","1","Toyota","Corolla","22,753"
"2014","2","Toyota","Corolla","25,299"
"2014","3","Toyota","Corolla","29,685"
"2014","4","Toyota","Corolla","29,061"
"2014","5","Toyota","Corolla","36,611"
"2014","6","Toyota","Corolla","30,945"
"2014","7","Toyota","Corolla","30,833"
"2014","8","Toyota","Corolla","33,088"
"2014","9","Toyota","Corolla","20,530"
"2014","10","Toyota","Corolla","24,959"
"2014","11","Toyota","Corolla","25,609"
"2014","12","Toyota","Corolla","30,125"
"2014","1","Toyota","Highlander","10,676"
"2014","2","Toyota","Highlander","12,052"
"2014","3","Toyota","Highlander","13,019"
"2014","4","Toyota","Highlander","12,507"
"2014","5","Toyota","Highlander","12,329"
