year,Month,Make,Model,Units Sold
2013,1,BMW,X5,"4,084"
2013,2,BMW,X5,"3,931"
2013,3,BMW,X5,"3,076"
2013,4,BMW,X5,"3,444"
2013,5,BMW,X5,"2,718"
2013,6,BMW,X5,"3,406"
2013,7,BMW,X5,"2,674"
2013,8,BMW,X5,"2,480"
2013,9,BMW,X5,"4,686"
2013,10,BMW,X5,"2,140"
2013,11,BMW,X5,"4,445"
2013,12,BMW,X5,"1,953"
2013,1,BMW,X6,380
2013,2,BMW,X6,474
2013,3,BMW,X6,410
2013,4,BMW,X6,354
2013,5,BMW,X6,887
2013,6,BMW,X6,291
2013,7,BMW,X6,212
2013,8,BMW,X6,414
2013,9,BMW,X6,375
2013,10,BMW,X6,515
2013,11,BMW,X6,496
2013,12,BMW,X6,722
2013,1,BMW,7-series,583
2013,2,BMW,7-series,709
2013,3,BMW,7-series,"1,046"
2013,4,BMW,7-series,871
2013,5,BMW,7-series,"1,011"
2013,6,BMW,7-series,855
2013,7,BMW,7-series,851
2013,8,BMW,7-series,924
2013,9,BMW,7-series,"1,723"
2013,10,BMW,7-series,623
2013,11,BMW,7-series,617
2013,12,BMW,7-series,"1,119"
2014,1,BMW,X5,"2,754"
2014,2,BMW,X5,"2,912"
2014,3,BMW,X5,"4,094"
2014,4,BMW,X5,"4,393"
2014,5,BMW,X5,"4,313"
2014,6,BMW,X5,"3,972"
2014,7,BMW,X5,"2,688"
2014,8,BMW,X5,"3,497"
2014,9,BMW,X5,"4,398"
2014,10,BMW,X5,"3,355"
2014,11,BMW,X5,"4,557"
2014,12,BMW,X5,"6,098"
2014,1,BMW,X6,382
2014,2,BMW,X6,346
2014,3,BMW,X6,372
2014,4,BMW,X6,342
2014,5,BMW,X6,329
2014,6,BMW,X6,567
2014,7,BMW,X6,669
2014,8,BMW,X6,28
2014,9,BMW,X6,19
2014,10,BMW,X6,19
2014,11,BMW,X6,421
2014,12,BMW,X6,458
2014,1,BMW,7-series,575
2014,2,BMW,7-series,600
2014,3,BMW,7-series,707
2014,4,BMW,7-series,674
2014,5,BMW,7-series,607
2014,6,BMW,7-series,"1,548"
2014,7,BMW,7-series,544
2014,8,BMW,7-series,529
2014,9,BMW,7-series,480
2014,10,BMW,7-series,"1,680"
2014,11,BMW,7-series,704
2014,12,BMW,7-series,"1,096"
2015,1,BMW,X5,"3,214"
2015,2,BMW,X5,"4,149"
2015,3,BMW,X5,"4,388"
2015,4,BMW,X5,"4,095"
2015,5,BMW,X5,"5,797"
2015,6,BMW,X5,"7,508"
2015,7,BMW,X5,"6,011"
2015,8,BMW,X5,"2,803"
2015,9,BMW,X5,"2,525"
2015,10,BMW,X5,"4,292"
2015,11,BMW,X5,"3,965"
2015,12,BMW,X5,"6,250"
2015,1,BMW,X6,433
2015,2,BMW,X6,403
2015,3,BMW,X6,587
2015,4,BMW,X6,522
2015,5,BMW,X6,565
2015,6,BMW,X6,"1,448"
2015,7,BMW,X6,393
2015,8,BMW,X6,443
2015,9,BMW,X6,333
2015,10,BMW,X6,560
2015,11,BMW,X6,672
2015,12,BMW,X6,"1,547"
2015,1,BMW,7-series,637
2015,2,BMW,7-series,572
2015,3,BMW,7-series,732
2015,4,BMW,7-series,"1,507"
2015,5,BMW,7-series,943
2015,6,BMW,7-series,832
2015,7,BMW,7-series,916
2015,8,BMW,7-series,90
2015,9,BMW,7-series,134
2015,10,BMW,7-series,618
2015,11,BMW,7-series,"1,045"
2015,12,BMW,7-series,"1,266"
2016,1,BMW,X5,"2,584"
2016,2,BMW,X5,"3,842"
2016,3,BMW,X5,"3,617"
2016,4,BMW,X5,"3,771"
2016,5,BMW,X5,"4,372"
2016,6,BMW,X5,"4,018"
2016,7,BMW,X5,"2,744"
2016,8,BMW,X5,"4,121"
2016,9,BMW,X5,"3,749"
2016,10,BMW,X5,"3,885"
2016,11,BMW,X5,"4,693"
2016,12,BMW,X5,"6,245"
2016,1,BMW,X6,385
2016,2,BMW,X6,624
2016,3,BMW,X6,635
2016,4,BMW,X6,608
2016,5,BMW,X6,712
2016,6,BMW,X6,571
2016,7,BMW,X6,405
2016,8,BMW,X6,580
2016,9,BMW,X6,604
2016,10,BMW,X6,590
2016,11,BMW,X6,609
2016,12,BMW,X6,794
2016,1,BMW,7-series,847
2016,2,BMW,7-series,616
2016,3,BMW,7-series,850
2016,4,BMW,7-series,872
2016,5,BMW,7-series,"1,012"
2016,6,BMW,7-series,"1,408"
2016,7,BMW,7-series,"1,203"
2016,8,BMW,7-series,"1,230"
2016,9,BMW,7-series,"1,201"
2016,10,BMW,7-series,"1,133"
2016,11,BMW,7-series,"1,233"
2016,12,BMW,7-series,"1,313"
2017,1,BMW,X5,"3,276"
2017,2,BMW,X5,"3,900"
2017,3,BMW,X5,"4,896"
2017,4,BMW,X5,"3,400"
2017,5,BMW,X5,"4,098"
2017,6,BMW,X5,"4,589"
2017,7,BMW,X5,"2,986"
2017,8,BMW,X5,"3,079"
2017,9,BMW,X5,"3,975"
2017,10,BMW,X5,"4,254"
2017,11,BMW,X5,"5,515"
2017,12,BMW,X5,"6,847"
2017,1,BMW,X6,429
2017,2,BMW,X6,469
2017,3,BMW,X6,630
2017,4,BMW,X6,561
2017,5,BMW,X6,547
2017,6,BMW,X6,617
2017,7,BMW,X6,362
2017,8,BMW,X6,345
2017,9,BMW,X6,450
2017,10,BMW,X6,566
2017,11,BMW,X6,799
2017,12,BMW,X6,"1,005"
2017,1,BMW,7-series,545
2017,2,BMW,7-series,623
2017,3,BMW,7-series,935
2017,4,BMW,7-series,994
2017,5,BMW,7-series,524
2017,6,BMW,7-series,634
2017,7,BMW,7-series,822
2017,8,BMW,7-series,550
2017,9,BMW,7-series,935
2017,10,BMW,7-series,819
2017,11,BMW,7-series,788
2017,12,BMW,7-series,"1,107"
2018,1,BMW,X5,3230
2018,2,BMW,X5,4006
2018,3,BMW,X5,4840
2018,4,BMW,X5,3800
2018,5,BMW,X5,4145
2018,6,BMW,X5,4355
2018,7,BMW,X5,2655
2018,8,BMW,X5,2225
2018,9,BMW,X5,1864
2018,10,BMW,X5,1379
2018,11,BMW,X5,5191
2018,12,BMW,X5,7323
2018,1,BMW,X6,535
2018,2,BMW,X6,721
2018,3,BMW,X6,763
2018,4,BMW,X6,592
2018,5,BMW,X6,600
2018,6,BMW,X6,511
2018,7,BMW,X6,371
2018,8,BMW,X6,456
2018,9,BMW,X6,565
2018,10,BMW,X6,569
2018,11,BMW,X6,696
2018,12,BMW,X6,483
2018,1,BMW,7-series,362
2018,2,BMW,7-series,615
2018,3,BMW,7-series,823
2018,4,BMW,7-series,546
2018,5,BMW,7-series,1032
2018,6,BMW,7-series,742
2018,7,BMW,7-series,704
2018,8,BMW,7-series,597
2018,9,BMW,7-series,705
2018,10,BMW,7-series,559
2018,11,BMW,7-series,603
2018,12,BMW,7-series,983
2019,1,BMW,X5,3092
2019,2,BMW,X5,4360
2019,3,BMW,X5,4460
2019,4,BMW,X5,3781
2019,5,BMW,X5,4204
2019,6,BMW,X5,4473
2019,7,BMW,X5,3804
2019,8,BMW,X5,4522
2019,9,BMW,X5,4339
2019,10,BMW,X5,4444
2019,11,BMW,X5,5359
2019,12,BMW,X5,7757
2019,1,BMW,X6,595
2019,2,BMW,X6,859
2019,3,BMW,X6,646
2019,4,BMW,X6,424
2019,5,BMW,X6,351
2019,6,BMW,X6,170
2019,7,BMW,X6,113
2019,8,BMW,X6,72
2019,9,BMW,X6,45
2019,10,BMW,X6,26
2019,11,BMW,X6,382
2019,12,BMW,X6,557
