year,Month,Make,Model,Units Sold
2015,1,Chevrolet,Traverse,"10,151"
2015,2,Chevrolet,Traverse,"9,705"
2015,3,Chevrolet,Traverse,"11,103"
2015,4,Chevrolet,Traverse,"11,475"
2015,5,Chevrolet,Traverse,"10,275"
2015,6,Chevrolet,Traverse,"8,721"
2015,7,Chevrolet,Traverse,"12,604"
2015,8,Chevrolet,Traverse,"10,072"
2015,9,Chevrolet,Traverse,"8,857"
2015,10,Chevrolet,Traverse,"9,155"
2015,11,Chevrolet,Traverse,"8,684"
2015,12,Chevrolet,Traverse,"9,143"
2015,1,Chevrolet,Trax,"1,839"
2015,2,Chevrolet,Trax,"3,821"
2015,3,Chevrolet,Trax,"4,026"
2015,4,Chevrolet,Trax,"3,451"
2015,5,Chevrolet,Trax,"5,707"
2015,6,Chevrolet,Trax,"5,971"
2015,7,Chevrolet,Trax,"6,111"
2015,8,Chevrolet,Trax,"5,985"
2015,9,Chevrolet,Trax,"6,140"
2015,10,Chevrolet,Trax,"8,175"
2015,11,Chevrolet,Trax,"6,481"
2015,12,Chevrolet,Trax,"5,323"
2015,1,Chevrolet,Camaro,"4,991"
2015,2,Chevrolet,Camaro,"6,373"
2015,3,Chevrolet,Camaro,"5,956"
2015,4,Chevrolet,Camaro,"6,909"
2015,5,Chevrolet,Camaro,"9,753"
2015,6,Chevrolet,Camaro,"8,611"
2015,7,Chevrolet,Camaro,"7,469"
2015,8,Chevrolet,Camaro,"6,236"
2015,9,Chevrolet,Camaro,"5,246"
2015,10,Chevrolet,Camaro,"5,289"
2015,11,Chevrolet,Camaro,"5,303"
2015,12,Chevrolet,Camaro,"5,366"
2015,1,Chevrolet,Corvette,"2,127"
2015,2,Chevrolet,Corvette,"2,605"
2015,3,Chevrolet,Corvette,"3,785"
2015,4,Chevrolet,Corvette,"3,469"
2015,5,Chevrolet,Corvette,"3,514"
2015,6,Chevrolet,Corvette,"2,807"
2015,7,Chevrolet,Corvette,"2,794"
2015,8,Chevrolet,Corvette,"2,725"
2015,9,Chevrolet,Corvette,"2,572"
2015,10,Chevrolet,Corvette,"2,526"
2015,11,Chevrolet,Corvette,"1,952"
2015,12,Chevrolet,Corvette,"2,453"
2016,1,Chevrolet,Traverse,"7,014"
2016,2,Chevrolet,Traverse,"9,158"
2016,3,Chevrolet,Traverse,"10,747"
2016,4,Chevrolet,Traverse,"12,186"
2016,5,Chevrolet,Traverse,"7,230"
2016,6,Chevrolet,Traverse,"8,297"
2016,7,Chevrolet,Traverse,"15,173"
2016,8,Chevrolet,Traverse,"8,415"
2016,9,Chevrolet,Traverse,"7,922"
2016,10,Chevrolet,Traverse,"10,984"
2016,11,Chevrolet,Traverse,"9,194"
2016,12,Chevrolet,Traverse,"10,381"
2016,1,Chevrolet,Trax,"3,746"
2016,2,Chevrolet,Trax,"4,814"
2016,3,Chevrolet,Trax,"5,167"
2016,4,Chevrolet,Trax,"4,510"
2016,5,Chevrolet,Trax,"5,102"
2016,6,Chevrolet,Trax,"5,796"
2016,7,Chevrolet,Trax,"9,466"
2016,8,Chevrolet,Trax,"6,997"
2016,9,Chevrolet,Trax,"8,526"
2016,10,Chevrolet,Trax,"8,678"
2016,11,Chevrolet,Trax,"8,207"
2016,12,Chevrolet,Trax,"8,007"
2016,1,Chevrolet,Camaro,"5,551"
2016,2,Chevrolet,Camaro,"6,151"
2016,3,Chevrolet,Camaro,"6,879"
2016,4,Chevrolet,Camaro,"7,457"
2016,5,Chevrolet,Camaro,"5,827"
2016,6,Chevrolet,Camaro,"4,969"
2016,7,Chevrolet,Camaro,"5,520"
2016,8,Chevrolet,Camaro,"5,604"
2016,9,Chevrolet,Camaro,"6,577"
2016,10,Chevrolet,Camaro,"6,277"
2016,11,Chevrolet,Camaro,"4,893"
2016,12,Chevrolet,Camaro,"7,000"
2016,1,Chevrolet,Corvette,"1,501"
2016,2,Chevrolet,Corvette,"2,116"
2016,3,Chevrolet,Corvette,"2,753"
2016,4,Chevrolet,Corvette,"3,142"
2016,5,Chevrolet,Corvette,"2,673"
2016,6,Chevrolet,Corvette,"2,483"
2016,7,Chevrolet,Corvette,"2,159"
2016,8,Chevrolet,Corvette,"3,063"
2016,9,Chevrolet,Corvette,"2,829"
2016,10,Chevrolet,Corvette,"2,626"
2016,11,Chevrolet,Corvette,"1,941"
2016,12,Chevrolet,Corvette,"2,709"
2017,1,Chevrolet,Traverse,"8,218"
2017,2,Chevrolet,Traverse,"10,477"
2017,3,Chevrolet,Traverse,"10,657"
2017,4,Chevrolet,Traverse,"9,437"
2017,5,Chevrolet,Traverse,"7,389"
2017,6,Chevrolet,Traverse,"10,780"
2017,7,Chevrolet,Traverse,"8,626"
2017,8,Chevrolet,Traverse,"11,337"
2017,9,Chevrolet,Traverse,"11,943"
2017,10,Chevrolet,Traverse,"11,098"
2017,11,Chevrolet,Traverse,"11,231"
2017,12,Chevrolet,Traverse,"12,313"
2017,1,Chevrolet,Trax,"5,257"
2017,2,Chevrolet,Trax,"6,606"
2017,3,Chevrolet,Trax,"6,498"
2017,4,Chevrolet,Trax,"6,509"
2017,5,Chevrolet,Trax,"6,174"
2017,6,Chevrolet,Trax,"5,887"
2017,7,Chevrolet,Trax,"6,552"
2017,8,Chevrolet,Trax,"8,171"
2017,9,Chevrolet,Trax,"8,423"
2017,10,Chevrolet,Trax,"6,054"
2017,11,Chevrolet,Trax,"6,595"
2017,12,Chevrolet,Trax,"6,563"
2017,1,Chevrolet,Camaro,"3,588"
2017,2,Chevrolet,Camaro,"4,658"
2017,3,Chevrolet,Camaro,"7,052"
2017,4,Chevrolet,Camaro,"8,737"
2017,5,Chevrolet,Camaro,"7,841"
2017,6,Chevrolet,Camaro,"4,691"
2017,7,Chevrolet,Camaro,"4,713"
2017,8,Chevrolet,Camaro,"5,017"
2017,9,Chevrolet,Camaro,"7,430"
2017,10,Chevrolet,Camaro,"5,674"
2017,11,Chevrolet,Camaro,"4,737"
2017,12,Chevrolet,Camaro,"3,802"
2017,1,Chevrolet,Corvette,"1,263"
2017,2,Chevrolet,Corvette,"2,081"
2017,3,Chevrolet,Corvette,"2,460"
2017,4,Chevrolet,Corvette,"2,756"
2017,5,Chevrolet,Corvette,"2,535"
2017,6,Chevrolet,Corvette,"2,612"
2017,7,Chevrolet,Corvette,"1,930"
2017,8,Chevrolet,Corvette,"1,748"
2017,9,Chevrolet,Corvette,"1,506"
2017,10,Chevrolet,Corvette,"1,345"
2017,11,Chevrolet,Corvette,"2,565"
2017,12,Chevrolet,Corvette,"2,278"
2018,1,Chevrolet,Traverse,11627
2018,2,Chevrolet,Traverse,11548
2018,3,Chevrolet,Traverse,15023
2018,4,Chevrolet,Traverse,11694
2018,5,Chevrolet,Traverse,11964
2018,6,Chevrolet,Traverse,11964
2018,7,Chevrolet,Traverse,10392
2018,8,Chevrolet,Traverse,11691
2018,9,Chevrolet,Traverse,10825
2018,10,Chevrolet,Traverse,13350
2018,11,Chevrolet,Traverse,12836
2018,12,Chevrolet,Traverse,13350
2018,1,Chevrolet,Trax,6106
2018,2,Chevrolet,Trax,6169
2018,3,Chevrolet,Trax,8207
2018,4,Chevrolet,Trax,8836
2018,5,Chevrolet,Trax,8836
2018,6,Chevrolet,Trax,8836
2018,7,Chevrolet,Trax,6489
2018,8,Chevrolet,Trax,7300
2018,9,Chevrolet,Trax,6760
2018,10,Chevrolet,Trax,7556
2018,11,Chevrolet,Trax,7266
2018,12,Chevrolet,Trax,7556
2018,1,Chevrolet,Camaro,2867
2018,2,Chevrolet,Camaro,3680
2018,3,Chevrolet,Camaro,5245
2018,4,Chevrolet,Camaro,4529
2018,5,Chevrolet,Camaro,4529
2018,6,Chevrolet,Camaro,4529
2018,7,Chevrolet,Camaro,4563
2018,8,Chevrolet,Camaro,5133
2018,9,Chevrolet,Camaro,4753
2018,10,Chevrolet,Camaro,3760
2018,11,Chevrolet,Camaro,3615
2018,12,Chevrolet,Camaro,3760
2018,1,Chevrolet,Corvette,1005
2018,2,Chevrolet,Corvette,1351
2018,3,Chevrolet,Corvette,2101
2018,4,Chevrolet,Corvette,1928
2018,5,Chevrolet,Corvette,1928
2018,6,Chevrolet,Corvette,1928
2018,7,Chevrolet,Corvette,1465
2018,8,Chevrolet,Corvette,1648
2018,9,Chevrolet,Corvette,1526
2018,10,Chevrolet,Corvette,1320
2018,11,Chevrolet,Corvette,1269
2018,12,Chevrolet,Corvette,1320
